{{complete}} of {{total}} complete,已完成 {{complete}} 项，共 {{total}} 项
{{count}} exact versions,{{count}} 个精确版本
{{count}} item awaiting linkage,{{count}} 项等待关联
{{count}} notifications,{{count}} 条通知
{{count}} pending,{{count}} 个待处理
{{days}} days,{{days}} 天
{{days}} days late,延误 {{days}} 天
"{{failed}} failed, {{passed}} passed",{{failed}} 项失败，{{passed}} 项通过
"{{failed}} failed, {{pending}} pending",{{failed}} 个失败，{{pending}} 个待处理
"{{major}} major, {{minor}} minor",{{major}} 个主要缺陷，{{minor}} 个次要缺陷
"{{pending}} pending, {{failed}} exception",{{pending}} 个待处理，{{failed}} 个异常
"{{percent}} ready, {{count}} blockers",就绪度 {{percent}}，{{count}} 个阻断项
{{percent}} yield,良率 {{percent}}
"{{samples}} samples, {{cavities}} cavities",{{samples}} 个样件，{{cavities}} 个型腔
A failed command changes nothing and returns a trace ID.,命令失败不会变更任何内容，并会返回跟踪编号。
A failed command leaves the current released revision unchanged.,命令失败时，当前已发布修订版保持不变。
A failed command leaves the Trial in analysis and returns field errors with a trace ID.,命令失败时，试模保持分析中状态，并返回字段错误和跟踪编号。
A failed command leaves Tooling in development and creates no ERPNext execution request.,命令失败时，模具开发保持开发中状态，且不会创建 ERPNext 执行请求。
A failure remains visible and retryable or becomes a final failure with recovery guidance.,失败状态会持续可见且可重试，或转为带恢复指南的最终失败。
A newer version is available.,有更新的版本可用。
A submitted round cannot be overwritten; correction requires a controlled reopen or a new round.,已提交轮次不可覆盖；纠正时需要受控重新打开或新轮次。
A validation or target-system failure remains visible and does not report ERPNext completion.,验证失败或目标系统失败将保持可见，且不会报告 ERPNext 已完成。
Acceptance,验收
Acceptance checklist,验收检查表
"Acceptance will freeze the technical, quality, file, warranty, cost, and asset handover evidence.",验收将冻结技术、质量、文件、保修、成本和资产交接证据。
Action,操作
Activity,活动
Actor,操作人
Actual cost,实际成本
Actual value,实际值
Administration,管理
Analysis in progress,分析进行中
Analytics,分析
Approval,审批
Approved,已批准
Asset handover,资产交接
Assigned the major flash defect for correction.,已分配重大飞边缺陷进行纠正。
Attempt Count,尝试次数
Attention required,需要关注
Audit result,审计结果
Authentication is required.,需要身份验证。
Available in a later phase,后续阶段可用
Baseline B02 released,基线 B02 已发布
Blocked,已阻断
Blocked by formal quality result,受正式质量结果阻断
Blocked by missing evidence,受缺失证据阻断
Blocker,阻断项
Blocking,阻断中
Breadcrumb,面包屑导航
Budget used,已用预算
Business action,业务操作
Cancel,取消
Cancelled,已取消
Catalog,目录
Cavities,型腔数
Change the filters or choose another saved view.,更改筛选条件或选择其他已保存视图。
Changed inputs,已变更输入
Changed since last review,自上次评审后已变更
Changes,变更
clean,未发现威胁
Clear filters,清除筛选条件
Close the major T1 flash defect,关闭 T1 重大飞边缺陷
Committed cost,已承诺成本
Company owned,公司所有
Compared with T0: tooling design B → C; holding +0.5 s; cooling −1 s.,与 T0 相比：模具开发设计 B → C；保压 +0.5 s；冷却 −1 s。
Completed,已完成
Completed in ERPNext,已在 ERPNext 中完成
Computed,已计算
Conclusion and next step,结论与下一步
Confirm the hot runner interface drawing,确认热流道接口图纸
Confirm tooling correction revision B,确认模具开发纠正修订版 B
Confirmed,已确认
Conflict,冲突
Context,上下文
Cooling time,冷却时间
Correct the highlighted fields and submit again.,请更正高亮字段后重新提交。
"Correct the mapping, review the impact, and then queue a safe retry with the same idempotency key.",更正映射并检查影响，然后使用相同幂等键排队安全重试。
Create corrective action,创建纠正措施
Create purchase request,创建采购申请
Create T1 from T0,基于 T0 创建 T1
Create tool asset,创建模具资产
Created,创建时间
Current design,当前设计
Current major defect,当前主要缺陷
Current phase,当前阶段
Current tooling design,当前模具开发设计
Customer,客户
Customer sample approval,客户样件批准
Customer samples,客户样件
Cycle time,周期时间
Date,日期
Decision,决策
Decision blocked,决策已阻断
Decision options,决策选项
Decision version,决策版本
DEF-014: Flash on cavity 3 parting line,DEF-014：3 号型腔分型面飞边
Defects,缺陷
Deliverables and evidence,交付物与证据
Design,设计
Design and Baselines,设计与基线
