"NPI ERP Authorization Delivery","NPI ERP 授权投递"
"Event ID","事件 ID"
"Stream Key","流键"
"Target User","目标用户"
"Source Version","来源版本"
"Source Snapshot Hash","来源快照哈希"
"Event Hash","事件哈希"
"Event JSON","事件 JSON"
"Request ID","请求 ID"
"Trace ID","追踪 ID"
"Expires At","到期时间"
"Status","状态"
"Attempt Count","尝试次数"
"Next Attempt At","下次尝试时间"
"Last Attempt At","最后尝试时间"
"Delivered At","投递时间"
"Last Error Code","最后错误代码"
"Response Projection Hash","响应投影哈希"
"Response State","响应状态"
"Local User State","本地用户状态"
"Local User Disposition","本地用户处理结果"
"pending","待处理"
"retry","重试"
"delivered","已投递"
"permanent_failure","永久失败"
"enabled","已启用"
"disabled","已禁用"
"absent_disabled","不存在且已禁用"
"created","已创建"
"retained","已保留"
"exact_replay","精确重放"
"Authorization deliveries can only be changed by the controlled sender.","授权投递只能由受控发送端更改。"
"Authorization delivery history cannot be deleted.","不能删除授权投递历史。"
"Authorization delivery event fields are immutable.","授权投递事件字段不可变。"
"Target User is required.","目标用户为必填项。"
"Source Version is invalid.","来源版本无效。"
"Status is invalid.","状态无效。"
"Attempt Count is invalid.","尝试次数无效。"
"Event JSON is invalid.","事件 JSON 无效。"
"Authorization delivery event binding is invalid.","授权投递事件绑定无效。"
"{0} is invalid.","{0}无效。"
"Authorization sender is disabled.","授权发送端已禁用。"
"Only a permanently failed authorization delivery can be retried.","只能重试永久失败的授权投递。"
"NPI ERP Item Mapping","NPI ERP 物料映射"
"NPI ERP Item Operation Receipt","NPI ERP 物料操作回执"
"NPI ERP Integration Service","NPI ERP 集成服务"
"Item Source Stream Key Hash","物料来源流键哈希"
"Tenant ID","租户 ID"
"Project Global ID","项目全局标识符"
"Engineering Item ID","工程物料标识符"
"Formal Item Code","正式物料代码"
"Item Mapping Version","物料映射版本"
"Target Version","目标版本"
"Source Hash","来源哈希"
"Last Request Global ID","最近请求全局标识符"
"Last Target Idempotency Key Hash","最近目标幂等键哈希"
"Updated At","更新时间"
"Target Idempotency Key Hash","目标幂等键哈希"
"Request Global ID","请求全局标识符"
"Operation","操作"
"Semantic Request Hash","语义请求哈希"
"Intent","意图"
"create_item","创建物料"
"update_item_engineering_fields","更新物料工程字段"
"Service User","服务用户"
"Result JSON","结果 JSON"
"Result Hash","结果哈希"
"Completed At","完成时间"
"ERPNext Item mapping identity fields are immutable.","ERPNext 物料映射标识字段不可变。"
"The ERPNext Item mapping version must advance by one.","ERPNext 物料映射版本必须递增一。"
"The mapped ERPNext Item is unavailable.","映射的 ERPNext 物料不可用。"
"ERPNext Item operation receipts are immutable.","ERPNext 物料操作回执不可变。"
"ERPNext Item operation receipt type is invalid.","ERPNext 物料操作回执类型无效。"
"Item Mapping Version is invalid.","物料映射版本无效。"
"Trace ID is invalid.","追踪 ID 无效。"
"Result JSON is invalid.","结果 JSON 无效。"
"ERPNext Item operation result binding is invalid.","ERPNext 物料操作结果绑定无效。"
"ERPNext Item integration records can only be changed by the controlled operation.","ERPNext 物料集成记录只能由受控操作更改。"
"ERPNext Item integration history cannot be deleted.","不能删除 ERPNext 物料集成历史。"
"Integration request content type is invalid.","集成请求内容类型无效。"
"Integration request trace ID is invalid.","集成请求追踪 ID 无效。"
"Integration request authentication failed.","集成请求身份验证失败。"
"Integration request path is invalid.","集成请求路径无效。"
"Integration Item request contract is invalid.","集成物料请求合同无效。"
"NPI ERP MBOM Mapping","NPI ERP 制造物料清单映射"
"NPI ERP MBOM Operation Receipt","NPI ERP 制造物料清单操作回执"
"NPI ERP MBOM Integration Service","NPI ERP 制造物料清单集成服务"
"Assembly Source Key","装配来源键"
"EBOM Global ID","工程物料清单全局标识符"
"Stable Line Key","稳定行键"
"Formal BOM ID","正式物料清单标识符"
"MBOM Mapping Version","制造物料清单映射版本"
"BOM Submission State","物料清单提交状态"
"editable_draft","可编辑草稿"
"submitted_immutable","已提交且不可变"
"Topology Hash","拓扑哈希"
"ERPNext MBOM mapping identity fields are immutable.","ERPNext 制造物料清单映射标识字段不可变。"
"The ERPNext MBOM mapping version must advance by one.","ERPNext 制造物料清单映射版本必须递增一。"
"BOM Submission State is invalid.","物料清单提交状态无效。"
"The mapped ERPNext BOM is unavailable.","映射的 ERPNext 物料清单不可用。"
"ERPNext MBOM operation receipts are immutable.","ERPNext 制造物料清单操作回执不可变。"
"ERPNext MBOM operation receipt type is invalid.","ERPNext 制造物料清单操作回执类型无效。"
"Service User is invalid.","服务用户无效。"
"ERPNext MBOM operation result binding is invalid.","ERPNext 制造物料清单操作结果绑定无效。"
"ERPNext MBOM integration records can only be changed by the controlled operation.","ERPNext 制造物料清单集成记录只能由受控操作更改。"
"ERPNext MBOM integration history cannot be deleted.","不能删除 ERPNext 制造物料清单集成历史。"
"Integration MBOM request contract is invalid.","集成制造物料清单请求合同无效。"
"NPI ERP Tool Asset Mapping","NPI ERP 模具资产映射"
"NPI ERP Tool Asset Operation Receipt","NPI ERP 模具资产操作回执"
"NPI ERP Tool Asset Integration Service","NPI ERP 模具资产集成服务"
"Tool Asset Source Stream Key Hash","模具资产来源流键哈希"
"Tooling Set Global ID","模具套件全局标识符"
"Formal Asset ID","正式资产标识符"
"Tool Asset Mapping Version","模具资产映射版本"
"Tool Asset Operation","模具资产操作"
"create_tool_asset","创建模具资产"
"update_tool_asset","更新模具资产"
"ERPNext Tool Asset mapping identity fields are immutable.","ERPNext 模具资产映射标识字段不可变。"
"The ERPNext Tool Asset mapping version must advance by one.","ERPNext 模具资产映射版本必须递增一。"
"The mapped ERPNext Asset is unavailable.","映射的 ERPNext 资产不可用。"
"ERPNext Tool Asset operation receipts are immutable.","ERPNext 模具资产操作回执不可变。"
"Tool Asset Operation is invalid.","模具资产操作无效。"
"Tool Asset Mapping Version is invalid.","模具资产映射版本无效。"
"ERPNext Tool Asset integration records can only be changed by the controlled operation.","ERPNext 模具资产集成记录只能由受控操作更改。"
"ERPNext Tool Asset integration history cannot be deleted.","不能删除 ERPNext 模具资产集成历史。"
"Integration Tool Asset request contract is invalid.","集成模具资产请求合同无效。"
"NPI One Source","NPI One 来源"
"NPI Source Stream Key","NPI 来源流键"
"NPI Tooling Master Title","NPI 模具主记录标题"
