docx_requirement_id,docx_priority,coverage_status_before_reconciliation,pack_requirement_ids,pre_reconciliation_sources,pre_reconciliation_checkpoint,reconciliation_action,post_reconciliation_state,notes
FR-PM-001,P0,EXPLICIT_SAME_ID,FR-PM-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-002,P0,EXPLICIT_SAME_ID,FR-PM-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-003,P0,EXPLICIT_SAME_ID,FR-PM-003,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-004,P0,EXPLICIT_SAME_ID,FR-PM-004,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-005,P0,EXPLICIT_SAME_ID,FR-PM-005,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-006,P0,EXPLICIT_SAME_ID,FR-PM-006,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-007,P1,EXPLICIT_SAME_ID,FR-PM-007,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-008,P0,EXPLICIT_SAME_ID,FR-PM-008,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-009,P0,EXPLICIT_SAME_ID,FR-PM-009,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-010,P1,EXPLICIT_SAME_ID,FR-PM-010,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-011,P0,EXPLICIT_SAME_ID,FR-PM-011,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-PM-012,P1,EXPLICIT_SAME_ID,FR-PM-012,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-001,P0,EXPLICIT_SAME_ID,FR-SG-001,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
FR-SG-002,P0,EXPLICIT_SAME_ID,FR-SG-002,docs/DETAILED_REQUIREMENTS.md,930b5a28cb995df12f251994a36f7502525ed94a,RETAIN_EXISTING_TRACE,RETAINED,The DOCX ID was already present in the Pack requirement inventory.
