requirement_id,priority,domain,requirement,acceptance,docx_phase
FR-PM-001,P0,项目与组合,支持客户来模、按图新制模具、改模/变更等项目类型，并绑定不同模板。,新建项目时选择类型后自动带出阶段、交付物、角色和标准周期。,
FR-PM-002,P0,项目与组合,ERPNext报价/销售订单提交后可通过API创建项目草稿。,项目保存来源单据ID；重复触发不重复创建。,
FR-PM-003,P0,项目与组合,项目具有唯一编码、客户、产品/零件、模具、订单、负责人和目标SOP。,必填项不完整不能提交立项。,
FR-PM-004,P0,项目与组合,支持项目章程：范围、目标、假设、责任界面、关键交付物、预算和成功标准。,G1审批时形成不可变更的基线快照。,
FR-PM-005,P0,项目与组合,支持项目团队、角色、RACI及替代人。,任务、门禁和通知可按角色自动分配。,
FR-PM-006,P0,项目与组合,支持WBS、父子任务、负责人、计划/实际日期、依赖、里程碑、状态和完成率。,可从模板生成并批量调整日期。,
FR-PM-007,P1,项目与组合,支持Gantt、基线对比、关键路径或关键任务标识。,能显示计划与实际偏差；如接OpenProject则以其计划视图为主。,
FR-PM-008,P0,项目与组合,支持项目健康度（绿/黄/红）、进度、成本、质量和风险摘要。,规则可配置，红色项目必须填写原因和恢复计划。,
FR-PM-009,P0,项目与组合,支持风险、问题、决策、行动项与项目对象关联。,可按项目、阶段、责任人和逾期状态查询。,
FR-PM-010,P1,项目与组合,同步ERPNext采购、工时、费用和模具实际成本。,项目看板显示预算、承诺、实际和预测完工成本。,
FR-PM-011,P0,项目与组合,支持项目暂停、取消、恢复和结项，记录原因和审批。,结项前检查未关闭阻断项、文件、移交和成本。,
FR-PM-012,P1,项目与组合,支持项目复盘、经验教训和可复用模板改进。,经验可被后续项目模板检索和引用。,
FR-SG-001,P0,阶段门,管理员可配置阶段门模板、顺序、适用项目类型和条件。,修改模板不影响已立项项目的历史基线。,
FR-SG-002,P0,阶段门,每个阶段门包含必交项、可选项、负责人、审核人、截止日和证据类型。,缺少P0必交项时系统不允许正常通过。,
FR-SG-003,P0,阶段门,支持并行会签、顺序审批和按条件选择审批人。,所有审批记录含人员、时间、意见和版本。,
FR-SG-004,P0,阶段门,交付物可关联文档版本、试模、质量检验、客户批准、任务或外部链接。,阶段门快照能打开当时批准的具体版本。,
FR-SG-005,P0,阶段门,支持阻断项、条件通过、豁免和临时偏差。,豁免必须有原因、风险、批准人、有效期和关闭任务。,
FR-SG-006,P0,阶段门,阶段门通过后锁定快照；重新打开必须走复审。,保留原审批，不覆盖历史。,
FR-SG-007,P0,阶段门,关键输入发生变化时自动触发阶段门失效或复审。,例如图纸主版本、模具方案、质量结果或ECN变更。,
FR-SG-008,P0,阶段门,支持到期前提醒、逾期升级和红色阻断项通知。,通知规则按项目级别和角色可配置。,
FR-SG-009,P1,阶段门,支持管理层批量查看项目所处阶段、门禁等待时间和逾期原因。,可按客户、PM、项目类型、工厂和SOP月份筛选。,
FR-TL-001,P0,Tooling生命周期,建立模具开发记录，并区分客户所有、公司所有、供应商托管或共同所有。,所有权、保管责任、维修授权和返还条件必填。,
FR-TL-002,P0,Tooling生命周期,模具规格包括类型、穴数、家族模、钢材、热流道、尺寸重量、适用机台吨位、寿命和目标节拍。,规格字段可按模具类型扩展。,
FR-TL-003,P0,Tooling生命周期,一个项目可关联多个产品、多个模具；家族模支持穴位与零件映射。,试模与质量结果可追溯到具体模具、穴号和零件。,
FR-TL-004,P0,Tooling生命周期,客户来模支持运输、到厂照片、配件清单、外观/水路/热流道/电气/安全检查。,接收差异形成问题清单并可要求客户确认。,
FR-TL-005,P0,Tooling生命周期,新制模具支持DFM、模具方案、供应商、报价、预算、采购订单和责任人。,G3前必须有批准方案和资金/PO状态。,
FR-TL-006,P0,Tooling生命周期,支持模具设计评审、版本、批准和释放。,未释放版本不能作为制造或试模依据。,
